experiment,raw_feature_count,dropped_constant_count,model_feature_count,accuracy,precision,recall,f1,roc_auc,average_precision
full_features,487,0,617,0.7547274116709753,0.19809069212410502,0.6686807653575025,0.305638665132336,0.7877387209066173,0.2878714879596526
full_minus_pos_cash,456,0,586,0.7536217745475831,0.19721825962910128,0.6682779456193354,0.3045573454495388,0.7874938001220257,0.2849616881477868
full_minus_credit_card,388,0,518,0.7525649155325757,0.19714066284634016,0.6721047331319234,0.30486022291247944,0.786806752292757,0.2845339288587353
full_minus_installments,439,0,569,0.7510853129115653,0.1955497998587238,0.6690835850956697,0.30264656311210314,0.7862215493597922,0.2833345968383998
full_minus_previous_application,406,0,536,0.7504186787636375,0.1952579376723986,0.6700906344410876,0.30239956371568805,0.7855712831092542,0.28566885933346364
full_minus_bureau_family,389,0,519,0.7501097507438661,0.19464663066447524,0.6678751258811682,0.30144084359801826,0.7851200328080996,0.2809536309672088
application_only,130,0,260,0.7277693771035559,0.17896860008722199,0.6612286002014098,0.281693766356343,0.7680434412353453,0.25780894375935537
