model,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,best_f1_from_sweep
Hybrid (LGBM 0.8 + LR 0.2),0.872672877745801,0.29592708630019937,0.41852970795568983,0.34670893467923586,0.7901459852844473,0.2942161060423646,0.6800000000000002,0.34670893467923586
LightGBM,0.8620392501178804,0.27994498624656167,0.45095669687814705,0.34544472730077913,0.7888495352714322,0.2910868192656942,0.6600000000000001,0.34544472730077913
Neural Network,0.8444953904687577,0.2528216704288939,0.47371601208459213,0.3296888141295206,0.771936366123229,0.27179812191010977,0.6700000000000002,0.3296888141295206
Logistic Regression,0.8605596474968701,0.27194644436023746,0.4336354481369587,0.3342648657040832,0.7753594664579966,0.26596789100631657,0.6900000000000002,0.3342648657040832
Random Forest,0.8444953904687577,0.24844108959632424,0.45740181268882174,0.3219906422798809,0.7708265510061463,0.2542686611062579,0.34,0.3219906422798809
Stacked Ensemble,0.8940214298489505,0.2716847985886504,0.18610271903323264,0.22089409514702366,0.6173036755181492,0.1716242821030281,0.05,0.22089409514702366
