model,accuracy,precision,recall,f1,roc_auc,average_precision
Hybrid (LGBM 0.8 + LR 0.2),0.7502723444384827,0.19707391000233154,0.6809667673716012,0.30568238325572983,0.7901459852844473,0.2942161060423646
LightGBM,0.7543209274344341,0.19801154968149073,0.6698892245720041,0.3056704347026928,0.7888495352714322,0.2910868192656942
Neural Network,0.7060468595027884,0.17484875533075472,0.710171198388721,0.28060960566630855,0.771936366123229,0.27179812191010977
Logistic Regression,0.711916491878445,0.17590851334180432,0.697079556898288,0.28092532467532466,0.7753594664579966,0.26596789100631657
Random Forest,0.9112238427393786,0.3814087206516531,0.16032225579053375,0.2257515598411798,0.7708265510061463,0.2542686611062579
Stacked Ensemble,0.9143131229370925,0.36420302760463047,0.08237663645518631,0.13436268068331142,0.6173036755181492,0.1716242821030281
